video_id,category,video_duration,channel_id,country,dialect,gender,transcript_duration
cwQtgQjZzz4,['News & Politics'],78,UClIjKh_JzA8Vgr0v6UqwdPQ,AT,MSA,Male,65.28
5g_gYjrsuT8,['People & Blogs'],90,UCKQIefGkPnb0URKnkJdAs6A,SA,MSA,Male,78.20444444444446
BzTDdeRNX0A,['People & Blogs'],223,UCSky_qvTeoO-c4AHsUSLxWw,DZ,MSA,Male,164.97777777777776
d7ouP5Ce2aE,['People & Blogs'],605,UC3KGR_wGSNuOozXe7qxEV-A,ES,MSA,Male,496.6222222222222
E6E1DuAPer0,['Education'],201,UC5hQOOQ7atQ9ZX57eZ_FHgw,SA,MSA,Male,163.37777777777774
USsmMz4dbzs,['Howto & Style'],2275,UCmaytXMSTXVgg95j0NPWilQ,EG,Egypt,Female,1248.462222222222
o0rCUHw0lhw,['People & Blogs'],549,UCsL1LiLl2UfdKBD_QUDfgaA,SA,MSA,Male,427.7333333333335
QZa2B4gRY0I,['Education'],135,UC5hQOOQ7atQ9ZX57eZ_FHgw,SA,MSA,Male,113.06666666666668
Y60-5oI7b1k,['Education'],224,UCwfKQlyvLDd4Vf-gyr_VisA,EG,Egypt,Female,169.69333333333333
77DgrGTaKXM,['Entertainment'],347,UC6KV87xkdEsS-fJVIpztUow,EG,MSA,Female,275.30666666666673
HZPAfs_nvGE,['Education'],328,UCHxy2iJRdSe4Vsj3nWt7DcQ,EG,Egypt,Female,211.98222222222225
_G05PpHTt2s,['People & Blogs'],990,UCLj8UFOcdFrvlh24Lw7jrgA,EG,MSA,Male,849.7955555555558
evHlSJ2rDGU,['People & Blogs'],158,UClpx3Wo_sJ-M0rrXOKlnSRA,MA,MSA,Male,79.91111111111111
5VUsVmjV_xo,['Education'],1020,UCZG2krSzfl3r6ZiOQfl-xnA,PS,MSA,Male,793.3164444444444
YdXFVrzCrus,['Education'],102,UCv9oAJoQVl2KeIz5bB2aYHw,KW,MSA,Male,78.12177777777778
8D6oGffN5Js,['News & Politics'],308,UCnVGseMUtv2yFNC-dQ2JdSw,QA,MSA,Female,219.85866666666644
