video_id,category,video_duration,channel_id,country,dialect,gender,transcript_duration
WsNdwx-_iCM,['Entertainment'],338,UC1N_Yuz6eHkX39hb1qtrtkQ,US,Egypt,Male,174.45333333333332
7Fie_4PxLVA,['Education'],839,UCuLR4dh8_06LH858SLdMy2g,DE,Lebanon,Female,7.1111111111111125
dym8cErw6Ok,['Nonprofits & Activism'],114,UCldw52FzyIcYgOXASVlFxPA,JO,Jordan,Female,83.43111111111108
r7YUuTvOq7w,['Film & Animation'],251,UCDO6pjNuNPjyFLEB7RGcsqQ,UNK,Egypt,Female,171.80444444444439
r_Hjzk8ZFgU,['Education'],547,UCdpXeLK1JPWa22pHA-DS-2g,IQ,Iraq,Male,355.5555555555558
YPm12--q1hA,['Education'],43,UCP2HgvIjhXpPoEQAupdRt_w,MA,MSA,Male,34.4
ZPDcpn2RQlk,['Entertainment'],391,UCRBWpRD5w7jN4Oq7MUyDYxg,FR,Syria,Male,322.432
sLOY7K7c4CY,['News & Politics'],409,UCnVGseMUtv2yFNC-dQ2JdSw,QA,Morocco,Male,224.85333333333332
Unz_vmJkEZk,['Howto & Style'],831,UCdZHADtuHbv1lfhctgZk8-Q,LB,MSA,Male,16.231111111111108
1WQ0cqJJ2kE,['Education'],604,UC_adLwpeZ2FqlOPXraPRfEw,AE,MSA,Male,457.30222222222227
MO-J0TXNy0M,['Film & Animation'],675,UCwzfz8LZn8gM7r6OYLvy6vw,AE,MSA,Both,498.77333333333326
kjrEtlNMssM,['Nonprofits & Activism'],63,UC1WKcnMr4eY7FTKbPmlt_RA,DZ,MSA,Male,32.995555555555555
dO4paedqLh0,['Education'],444,UCj4VaTMg6WVrOA4SIXtZxxQ,SA,MSA,Female,391.26133333333325
x8jQkoKSMko,['Education'],449,UCj4VaTMg6WVrOA4SIXtZxxQ,SA,MSA,Male,375.2071111111112
QTnm4HG0sDs,['People & Blogs'],726,UCTW4teojDBh2Bs2cDSMgztA,TR,MSA,Male,554.2551111111113
EF7GOQ1LtpU,['News & Politics'],194,UCnVGseMUtv2yFNC-dQ2JdSw,QA,Palestine,Male,86.79111111111109
I-stTNJUuUA,['Education'],1265,UCCsccXP_gdRW44ILUAEe9Aw,EG,Egypt,Male,42.21333333333335
AMZMnB7oIl8,['Film & Animation'],781,UCM7ksqsk1g1SV43AUd1Xpiw,EG,MSA,Male,547.5653333333335
s927DSClIG4,['Science & Technology'],319,UCXnD-Pb3JJqcOeU8O8B6Opg,UNK,MSA,Male,1.7777777777777777
WDwaBUN5agU,['People & Blogs'],109,UCEg4_mU2CqqtQxWwzL_uh-w,QA,Palestine,Male,69.93777777777778
rmXWlkk0BaU,['Howto & Style'],410,UCdZHADtuHbv1lfhctgZk8-Q,LB,MSA,Male,29.72444444444445
48MVY1dfHxI,['Film & Animation'],213,UCGbIR9SwByUdLHaqRWGtdmA,US,Iraq,Male,141.52888888888884
